"","doi","year","article_name","article_type","corresponding_author","authors","author_affiliations","author","author_affiliation1","author_affiliation2","author_affiliation3","author_affiliation4"
"2085","10.1111/cogs.12010","2013","Autonomy in Action: Linking the Act of Looking to Memory Formation in Infancy via Dynamic Neural Fields","Extended Articles","FALSE","Sammy Perone and
John P. Spencer","Department of Psychology and Delta Center, University of Iowa","John P. Spencer","Department of Psychology and Delta Center, University of Iowa",NA,NA,NA
"2086","10.1111/cogs.12004","2013","A General Structure for Legal Arguments About Evidence Using Bayesian Networks","Extended Articles","TRUE","Norman Fenton1, 
Martin Neil1 and
David A. Lagnado2","             School of Electronic Engineering and Computer Science, Queen Mary University of London
             Cognitive, Perceptual, and Brain Sciences Department, University College London","Norman Fenton","             School of Electronic Engineering and Computer Science, Queen Mary University of London",NA,NA,NA
"2087","10.1111/cogs.12004","2013","A General Structure for Legal Arguments About Evidence Using Bayesian Networks","Extended Articles","FALSE","Norman Fenton1, 
Martin Neil1 and
David A. Lagnado2","             School of Electronic Engineering and Computer Science, Queen Mary University of London
             Cognitive, Perceptual, and Brain Sciences Department, University College London","Martin Neil","             School of Electronic Engineering and Computer Science, Queen Mary University of London",NA,NA,NA
"2088","10.1111/cogs.12004","2013","A General Structure for Legal Arguments About Evidence Using Bayesian Networks","Extended Articles","FALSE","Norman Fenton1, 
Martin Neil1 and
David A. Lagnado2","             School of Electronic Engineering and Computer Science, Queen Mary University of London
             Cognitive, Perceptual, and Brain Sciences Department, University College London","David A. Lagnado","             Cognitive, Perceptual, and Brain Sciences Department, University College London",NA,NA,NA
"2089","10.1111/j.1551-6709.2012.01267.x","2013","Learning Phonemes With a Proto-Lexicon","Regular Articles","TRUE","Andrew Martin1,2, 
Sharon Peperkamp1 and
Emmanuel Dupoux1","             Laboratoire de Sciences Cognitives et Psycholinguistique (EHESS-ENS-CNRS)
             Laboratory for Language Development, RIKEN Brain Science Institute","Andrew Martin","             Laboratoire de Sciences Cognitives et Psycholinguistique (EHESS-ENS-CNRS)","             Laboratory for Language Development, RIKEN Brain Science Institute",NA,NA
"2090","10.1111/j.1551-6709.2012.01267.x","2013","Learning Phonemes With a Proto-Lexicon","Regular Articles","FALSE","Andrew Martin1,2, 
Sharon Peperkamp1 and
Emmanuel Dupoux1","             Laboratoire de Sciences Cognitives et Psycholinguistique (EHESS-ENS-CNRS)
             Laboratory for Language Development, RIKEN Brain Science Institute","Sharon Peperkamp","             Laboratoire de Sciences Cognitives et Psycholinguistique (EHESS-ENS-CNRS)",NA,NA,NA
"2091","10.1111/j.1551-6709.2012.01267.x","2013","Learning Phonemes With a Proto-Lexicon","Regular Articles","FALSE","Andrew Martin1,2, 
Sharon Peperkamp1 and
Emmanuel Dupoux1","             Laboratoire de Sciences Cognitives et Psycholinguistique (EHESS-ENS-CNRS)
             Laboratory for Language Development, RIKEN Brain Science Institute","Emmanuel Dupoux","             Laboratoire de Sciences Cognitives et Psycholinguistique (EHESS-ENS-CNRS)",NA,NA,NA
"2092","10.1111/cogs.12013","2013","Mapping the Structure of Semantic Memory","Regular Articles","TRUE","Ana Sofia Morais, 
Henrik Olsson and
Lael J. Schooler","Max Planck Institute for Human Development, Berlin","Ana Sofia Morais","Max Planck Institute for Human Development, Berlin",NA,NA,NA
"2093","10.1111/cogs.12013","2013","Mapping the Structure of Semantic Memory","Regular Articles","FALSE","Ana Sofia Morais, 
Henrik Olsson and
Lael J. Schooler","Max Planck Institute for Human Development, Berlin","Henrik Olsson","Max Planck Institute for Human Development, Berlin",NA,NA,NA
"2094","10.1111/cogs.12013","2013","Mapping the Structure of Semantic Memory","Regular Articles","FALSE","Ana Sofia Morais, 
Henrik Olsson and
Lael J. Schooler","Max Planck Institute for Human Development, Berlin","Lael J. Schooler","Max Planck Institute for Human Development, Berlin",NA,NA,NA
"2095","10.1111/cogs.12001","2013","Set as an Instance of a Real-World Visual-Cognitive Task","Regular Articles","TRUE","Enkhbold Nyamsuren and
Niels A. Taatgen","              Department of Artificial Intelligence, University of Groningen","Enkhbold Nyamsuren","              Department of Artificial Intelligence, University of Groningen",NA,NA,NA
"2096","10.1111/cogs.12001","2013","Set as an Instance of a Real-World Visual-Cognitive Task","Regular Articles","TRUE","Enkhbold Nyamsuren and
Niels A. Taatgen","              Department of Artificial Intelligence, University of Groningen","Niels A. Taatgen","              Department of Artificial Intelligence, University of Groningen",NA,NA,NA
"2097","10.1111/cogs.12005","2013","Individual Differences in the Encoding Processes of Egocentric and Allocentric Survey Knowledge","Regular Articles","TRUE","Wen Wen1, 
Toru Ishikawa2 and
Takao Sato1","            Department of Psychology, University of Tokyo
            Center for Spatial Information Science, University of Tokyo","Wen Wen","            Department of Psychology, University of Tokyo",NA,NA,NA
"2098","10.1111/cogs.12005","2013","Individual Differences in the Encoding Processes of Egocentric and Allocentric Survey Knowledge","Regular Articles","FALSE","Wen Wen1, 
Toru Ishikawa2 and
Takao Sato1","            Department of Psychology, University of Tokyo
            Center for Spatial Information Science, University of Tokyo","Toru Ishikawa","            Center for Spatial Information Science, University of Tokyo",NA,NA,NA
"2099","10.1111/cogs.12005","2013","Individual Differences in the Encoding Processes of Egocentric and Allocentric Survey Knowledge","Regular Articles","FALSE","Wen Wen1, 
Toru Ishikawa2 and
Takao Sato1","            Department of Psychology, University of Tokyo
            Center for Spatial Information Science, University of Tokyo","Takao Sato","            Department of Psychology, University of Tokyo",NA,NA,NA
"2100","10.1111/cogs.12014","2013","The Causal Structure of Utility Conditionals","Brief Report","TRUE","Jean-François Bonnefon1 and
Steven A. Sloman2","             Centre National de la Recherche Scientifique and Université de Toulouse
             Department of Cognitive, Linguistic, & Psychological Sciences, Brown University","Jean-François Bonnefon","             Centre National de la Recherche Scientifique and Université de Toulouse",NA,NA,NA
"2101","10.1111/cogs.12014","2013","The Causal Structure of Utility Conditionals","Brief Report","FALSE","Jean-François Bonnefon1 and
Steven A. Sloman2","             Centre National de la Recherche Scientifique and Université de Toulouse
             Department of Cognitive, Linguistic, & Psychological Sciences, Brown University","Steven A. Sloman","             Department of Cognitive, Linguistic, & Psychological Sciences, Brown University",NA,NA,NA
"2102","10.1111/cogs.12026","2013","An Eye-Tracking Study of Exploitations of Spatial Constraints in Diagrammatic Reasoning","Extended Article","TRUE","Atsushi Shimojima1,* and
Yasuhiro Katagiri2","Faculty of Culture and Information Science, Doshisha University
Department of Media Architecture, Future University - Hakodate","Atsushi Shimojima","Faculty of Culture and Information Science, Doshisha University",NA,NA,NA
"2103","10.1111/cogs.12026","2013","An Eye-Tracking Study of Exploitations of Spatial Constraints in Diagrammatic Reasoning","Extended Article","FALSE","Atsushi Shimojima1,* and
Yasuhiro Katagiri2","Faculty of Culture and Information Science, Doshisha University
Department of Media Architecture, Future University - Hakodate","Yasuhiro Katagiri","Department of Media Architecture, Future University - Hakodate",NA,NA,NA
"2104","10.1111/cogs.12009","2013","Interactive Team Cognition","Regular Articles","TRUE","Nancy J. Cooke1, 
Jamie C. Gorman2, 
Christopher W. Myers3 and
Jasmine L. Duran4","            Cognitive Science and Engineering, Arizona State University
            Department of Psychology, Texas Tech University
            Air Force Research Laboratory
            Lumir Research Institute, Inc.","Nancy J. Cooke","            Cognitive Science and Engineering, Arizona State University",NA,NA,NA
"2105","10.1111/cogs.12009","2013","Interactive Team Cognition","Regular Articles","FALSE","Nancy J. Cooke1, 
Jamie C. Gorman2, 
Christopher W. Myers3 and
Jasmine L. Duran4","            Cognitive Science and Engineering, Arizona State University
            Department of Psychology, Texas Tech University
            Air Force Research Laboratory
            Lumir Research Institute, Inc.","Jamie C. Gorman","            Department of Psychology, Texas Tech University",NA,NA,NA
"2106","10.1111/cogs.12009","2013","Interactive Team Cognition","Regular Articles","FALSE","Nancy J. Cooke1, 
Jamie C. Gorman2, 
Christopher W. Myers3 and
Jasmine L. Duran4","            Cognitive Science and Engineering, Arizona State University
            Department of Psychology, Texas Tech University
            Air Force Research Laboratory
            Lumir Research Institute, Inc.","Christopher W. Myers","            Air Force Research Laboratory",NA,NA,NA
"2107","10.1111/cogs.12009","2013","Interactive Team Cognition","Regular Articles","FALSE","Nancy J. Cooke1, 
Jamie C. Gorman2, 
Christopher W. Myers3 and
Jasmine L. Duran4","            Cognitive Science and Engineering, Arizona State University
            Department of Psychology, Texas Tech University
            Air Force Research Laboratory
            Lumir Research Institute, Inc.","Jasmine L. Duran","            Lumir Research Institute, Inc.",NA,NA,NA
"2108","10.1111/cogs.12006","2013","Does Grammatical Aspect Affect Motion Event Cognition? A Cross-Linguistic Comparison of English and Swedish Speakers","Regular Articles","TRUE","Panos Athanasopoulos1 and
Emanuel Bylund2","            School of Education, Communication, and Language Sciences, Newcastle University
            Centre for Research on Bilingualism, Stockholm University","Panos Athanasopoulos","            School of Education, Communication, and Language Sciences, Newcastle University",NA,NA,NA
"2109","10.1111/cogs.12006","2013","Does Grammatical Aspect Affect Motion Event Cognition? A Cross-Linguistic Comparison of English and Swedish Speakers","Regular Articles","FALSE","Panos Athanasopoulos1 and
Emanuel Bylund2","            School of Education, Communication, and Language Sciences, Newcastle University
            Centre for Research on Bilingualism, Stockholm University","Emanuel Bylund","            Centre for Research on Bilingualism, Stockholm University",NA,NA,NA
"2110","10.1111/cogs.12011","2013","iMinerva: A Mathematical Model of Distributional Statistical Learning","Regular Articles","TRUE","Erik D. Thiessen1 and
Philip I. Pavlik Jr.2","             Department of Psychology, Carnegie Mellon University
             Department of Psychology, University of Memphis","Erik D. Thiessen","             Department of Psychology, Carnegie Mellon University",NA,NA,NA
"2111","10.1111/cogs.12011","2013","iMinerva: A Mathematical Model of Distributional Statistical Learning","Regular Articles","FALSE","Erik D. Thiessen1 and
Philip I. Pavlik Jr.2","             Department of Psychology, Carnegie Mellon University
             Department of Psychology, University of Memphis","Philip I. Pavlik Jr.","             Department of Psychology, University of Memphis",NA,NA,NA
"2112","10.1111/cogs.12008","2013","A Single-Stage Approach to Learning Phonological Categories: Insights From Inuktitut","Regular Articles","FALSE","Brian Dillon1,†, 
Ewan Dunbar2,† and
William Idsardi3","            Department of Linguistics, University of Massachusetts
            Department of Linguistics, University of Maryland
            Department of Linguistics and Program in Neuroscience and Cognitive Science, University of Maryland","Brian Dillon†","            Department of Linguistics, University of Massachusetts",NA,NA,NA
"2113","10.1111/cogs.12008","2013","A Single-Stage Approach to Learning Phonological Categories: Insights From Inuktitut","Regular Articles","FALSE","Brian Dillon1,†, 
Ewan Dunbar2,† and
William Idsardi3","            Department of Linguistics, University of Massachusetts
            Department of Linguistics, University of Maryland
            Department of Linguistics and Program in Neuroscience and Cognitive Science, University of Maryland","Ewan Dunbar†","            Department of Linguistics, University of Maryland",NA,NA,NA
"2114","10.1111/cogs.12008","2013","A Single-Stage Approach to Learning Phonological Categories: Insights From Inuktitut","Regular Articles","FALSE","Brian Dillon1,†, 
Ewan Dunbar2,† and
William Idsardi3","            Department of Linguistics, University of Massachusetts
            Department of Linguistics, University of Maryland
            Department of Linguistics and Program in Neuroscience and Cognitive Science, University of Maryland","William Idsardi","            Department of Linguistics and Program in Neuroscience and Cognitive Science, University of Maryland",NA,NA,NA
"2115","10.1111/cogs.12021","2013","Direct Evidence of Memory Retrieval as a Source of Difficulty in Non-Local Dependencies in Language","Brief Reports","TRUE","Evelina Fedorenko*, 
Rebecca Woodbury and
Edward Gibson","Department of Brain & Cognitive Sciences, Massachusetts Institute of Technology","Evelina Fedorenko","Department of Brain & Cognitive Sciences, Massachusetts Institute of Technology",NA,NA,NA
"2116","10.1111/cogs.12021","2013","Direct Evidence of Memory Retrieval as a Source of Difficulty in Non-Local Dependencies in Language","Brief Reports","FALSE","Evelina Fedorenko*, 
Rebecca Woodbury and
Edward Gibson","Department of Brain & Cognitive Sciences, Massachusetts Institute of Technology","Rebecca Woodbury","Department of Brain & Cognitive Sciences, Massachusetts Institute of Technology",NA,NA,NA
"2117","10.1111/cogs.12021","2013","Direct Evidence of Memory Retrieval as a Source of Difficulty in Non-Local Dependencies in Language","Brief Reports","FALSE","Evelina Fedorenko*, 
Rebecca Woodbury and
Edward Gibson","Department of Brain & Cognitive Sciences, Massachusetts Institute of Technology","Edward Gibson","Department of Brain & Cognitive Sciences, Massachusetts Institute of Technology",NA,NA,NA
"2118","10.1111/cogs.12019","2013","The Effect of Scene Variation on the Redundant Use of Color in Definite Reference","Brief Reports","TRUE","Ruud Koolen, 
Martijn Goudbeek* and
Emiel Krahmer","Tilburg Center for Cognition and Communication (TiCC), Tilburg University","Ruud Koolen","Tilburg Center for Cognition and Communication (TiCC), Tilburg University",NA,NA,NA
"2119","10.1111/cogs.12019","2013","The Effect of Scene Variation on the Redundant Use of Color in Definite Reference","Brief Reports","TRUE","Ruud Koolen, 
Martijn Goudbeek* and
Emiel Krahmer","Tilburg Center for Cognition and Communication (TiCC), Tilburg University","Martijn Goudbeek","Tilburg Center for Cognition and Communication (TiCC), Tilburg University",NA,NA,NA
"2120","10.1111/cogs.12019","2013","The Effect of Scene Variation on the Redundant Use of Color in Definite Reference","Brief Reports","FALSE","Ruud Koolen, 
Martijn Goudbeek* and
Emiel Krahmer","Tilburg Center for Cognition and Communication (TiCC), Tilburg University","Emiel Krahmer","Tilburg Center for Cognition and Communication (TiCC), Tilburg University",NA,NA,NA
"2121","10.1111/cogs.12016","2013","Visual Narrative Structure","Extended Article","TRUE","Neil Cohn","Department of Psychology, Tufts University","Neil Cohn","Department of Psychology, Tufts University",NA,NA,NA
"2122","10.1111/cogs.12012","2013","Neural Computation and the Computational Theory of Cognition","Regular Articles","TRUE","Gualtiero Piccinini1 and
Sonya Bahar2","               Center for Neurodynamics, Department of Philosophy, University of Missouri – St. Louis
               Center for Neurodynamics, Department of Physics and Astronomy, University of Missouri – St. Louis","Gualtiero Piccinini","               Center for Neurodynamics, Department of Philosophy, University of Missouri – St. Louis",NA,NA,NA
"2123","10.1111/cogs.12012","2013","Neural Computation and the Computational Theory of Cognition","Regular Articles","FALSE","Gualtiero Piccinini1 and
Sonya Bahar2","               Center for Neurodynamics, Department of Philosophy, University of Missouri – St. Louis
               Center for Neurodynamics, Department of Physics and Astronomy, University of Missouri – St. Louis","Sonya Bahar","               Center for Neurodynamics, Department of Physics and Astronomy, University of Missouri – St. Louis",NA,NA,NA
"2124","10.1111/cogs.12015","2013","Tracking the Time Course of Word-Frequency Effects in Auditory Word Recognition With Event-Related Potentials","Regular Articles","TRUE","Sophie Dufour1, 
Angèle Brunellière2 and
Ulrich H. Frauenfelder3,4","              Laboratoire Parole et Langage, CNRS & Aix-Marseille University
              Laboratoire URECA, Lille 3 University
              Laboratoire de Psycholinguistique Expérimentale, Geneva University
              Fondation Universitaire à Distance","Sophie Dufour","              Laboratoire Parole et Langage, CNRS & Aix-Marseille University",NA,NA,NA
"2125","10.1111/cogs.12015","2013","Tracking the Time Course of Word-Frequency Effects in Auditory Word Recognition With Event-Related Potentials","Regular Articles","FALSE","Sophie Dufour1, 
Angèle Brunellière2 and
Ulrich H. Frauenfelder3,4","              Laboratoire Parole et Langage, CNRS & Aix-Marseille University
              Laboratoire URECA, Lille 3 University
              Laboratoire de Psycholinguistique Expérimentale, Geneva University
              Fondation Universitaire à Distance","Angèle Brunellière","              Laboratoire URECA, Lille 3 University",NA,NA,NA
"2126","10.1111/cogs.12015","2013","Tracking the Time Course of Word-Frequency Effects in Auditory Word Recognition With Event-Related Potentials","Regular Articles","FALSE","Sophie Dufour1, 
Angèle Brunellière2 and
Ulrich H. Frauenfelder3,4","              Laboratoire Parole et Langage, CNRS & Aix-Marseille University
              Laboratoire URECA, Lille 3 University
              Laboratoire de Psycholinguistique Expérimentale, Geneva University
              Fondation Universitaire à Distance","Ulrich H. Frauenfelder","              Laboratoire de Psycholinguistique Expérimentale, Geneva University","              Fondation Universitaire à Distance",NA,NA
"2127","10.1111/cogs.12018","2013","How Do Children Restrict Their Linguistic Generalizations? An (Un-)Grammaticality Judgment Study","Regular Articles","TRUE","Ben Ambridge*","Institute of Psychology, Health & Society, University of Liverpool","Ben Ambridge","Institute of Psychology, Health & Society, University of Liverpool",NA,NA,NA
"2128","10.1111/cogs.12017","2013","The Influence of Activation Level on Belief Bias in Relational Reasoning","Regular Articles","TRUE","Adrian P. Banks*","Department of Psychology, University of Surrey","Adrian P. Banks","Department of Psychology, University of Surrey",NA,NA,NA
"2129","10.1111/cogs.12022","2013","Evidence for Implicit Learning in Syntactic Comprehension","Brief Reports","TRUE","Alex B. Fine1,2,* and
T. Florian Jaeger1,3","Department of Brain and Cognitive Sciences, University of Rochester
Department of Linguistics, University of Rochester
Department of Computer Science, University of Rochester","Alex B. Fine","Department of Brain and Cognitive Sciences, University of Rochester","Department of Linguistics, University of Rochester",NA,NA
"2130","10.1111/cogs.12022","2013","Evidence for Implicit Learning in Syntactic Comprehension","Brief Reports","FALSE","Alex B. Fine1,2,* and
T. Florian Jaeger1,3","Department of Brain and Cognitive Sciences, University of Rochester
Department of Linguistics, University of Rochester
Department of Computer Science, University of Rochester","T. Florian Jaeger","Department of Brain and Cognitive Sciences, University of Rochester","Department of Computer Science, University of Rochester",NA,NA
"2131","10.1111/cogs.12031","2013","Constructing a New Theory From Old Ideas and New Evidence","Brief Reports","TRUE","Marjorie Rhodes1,* and
Henry Wellman2","Department of Psychology, New York University
Department of Psychology, University of Michigan","Marjorie Rhodes","Department of Psychology, New York University",NA,NA,NA
"2132","10.1111/cogs.12031","2013","Constructing a New Theory From Old Ideas and New Evidence","Brief Reports","FALSE","Marjorie Rhodes1,* and
Henry Wellman2","Department of Psychology, New York University
Department of Psychology, University of Michigan","Henry Wellman","Department of Psychology, University of Michigan",NA,NA,NA
"2133","10.1111/j.1551-6709.2012.01252.x","2013","Are Automatic Imitation and Spatial Compatibility Mediated by Different Processes?","Regular Articles","TRUE","Richard P. Cooper1, 
Caroline Catmur2 and
Cecilia Heyes3","            Department of Psychological Sciences, Birkbeck, University of London
            Department of Psychology, University of Surrey
            All Souls College & Department of Experimental Psychology, University of Oxford","Richard P. Cooper","            Department of Psychological Sciences, Birkbeck, University of London",NA,NA,NA
"2134","10.1111/j.1551-6709.2012.01252.x","2013","Are Automatic Imitation and Spatial Compatibility Mediated by Different Processes?","Regular Articles","FALSE","Richard P. Cooper1, 
Caroline Catmur2 and
Cecilia Heyes3","            Department of Psychological Sciences, Birkbeck, University of London
            Department of Psychology, University of Surrey
            All Souls College & Department of Experimental Psychology, University of Oxford","Caroline Catmur","            Department of Psychology, University of Surrey",NA,NA,NA
"2135","10.1111/j.1551-6709.2012.01252.x","2013","Are Automatic Imitation and Spatial Compatibility Mediated by Different Processes?","Regular Articles","FALSE","Richard P. Cooper1, 
Caroline Catmur2 and
Cecilia Heyes3","            Department of Psychological Sciences, Birkbeck, University of London
            Department of Psychology, University of Surrey
            All Souls College & Department of Experimental Psychology, University of Oxford","Cecilia Heyes","            All Souls College & Department of Experimental Psychology, University of Oxford",NA,NA,NA
"2136","10.1111/cogs.12039","2013","In Praise of a Model but Not Its Conclusions: Commentary on Cooper, Catmur, and Heyes (2012)","Regular Articles","TRUE","Bennett I. Bertenthal1,* and
Matthias Scheutz2","Department of Psychological and Brain Sciences, Indiana University
Department of Computer Science, Tufts University","Bennett I. Bertenthal","Department of Psychological and Brain Sciences, Indiana University",NA,NA,NA
"2137","10.1111/cogs.12039","2013","In Praise of a Model but Not Its Conclusions: Commentary on Cooper, Catmur, and Heyes (2012)","Regular Articles","FALSE","Bennett I. Bertenthal1,* and
Matthias Scheutz2","Department of Psychological and Brain Sciences, Indiana University
Department of Computer Science, Tufts University","Matthias Scheutz","Department of Computer Science, Tufts University",NA,NA,NA
"2138","10.1111/cogs.12040","2013","Neither Shaken nor Stirred: Reply to Bertenthal and Scheutz","Regular Articles","TRUE","Richard P. Cooper1,*, 
Caroline Catmur2 and
Cecilia Heyes3","Department of Psychological Sciences, Birkbeck, University of London
Department of Psychology, University of Surrey
All Souls College & Department of Experimental Psychology, University of Oxford","Richard P. Cooper","Department of Psychological Sciences, Birkbeck, University of London",NA,NA,NA
"2139","10.1111/cogs.12040","2013","Neither Shaken nor Stirred: Reply to Bertenthal and Scheutz","Regular Articles","FALSE","Richard P. Cooper1,*, 
Caroline Catmur2 and
Cecilia Heyes3","Department of Psychological Sciences, Birkbeck, University of London
Department of Psychology, University of Surrey
All Souls College & Department of Experimental Psychology, University of Oxford","Caroline Catmur","Department of Psychology, University of Surrey",NA,NA,NA
"2140","10.1111/cogs.12040","2013","Neither Shaken nor Stirred: Reply to Bertenthal and Scheutz","Regular Articles","FALSE","Richard P. Cooper1,*, 
Caroline Catmur2 and
Cecilia Heyes3","Department of Psychological Sciences, Birkbeck, University of London
Department of Psychology, University of Surrey
All Souls College & Department of Experimental Psychology, University of Oxford","Cecilia Heyes","All Souls College & Department of Experimental Psychology, University of Oxford",NA,NA,NA
"2141","10.1111/cogs.12020","2013","Young Children's Trust in Overtly Misleading Advice","Regular Articles","TRUE","Gail D. Heyman*, 
Lalida Sritanyaratana and
Kimberly E. Vanderbilt","Department of Psychology, University of California, San Diego","Gail D. Heyman","Department of Psychology, University of California, San Diego",NA,NA,NA
"2142","10.1111/cogs.12020","2013","Young Children's Trust in Overtly Misleading Advice","Regular Articles","FALSE","Gail D. Heyman*, 
Lalida Sritanyaratana and
Kimberly E. Vanderbilt","Department of Psychology, University of California, San Diego","Lalida Sritanyaratana","Department of Psychology, University of California, San Diego",NA,NA,NA
"2143","10.1111/cogs.12020","2013","Young Children's Trust in Overtly Misleading Advice","Regular Articles","FALSE","Gail D. Heyman*, 
Lalida Sritanyaratana and
Kimberly E. Vanderbilt","Department of Psychology, University of California, San Diego","Kimberly E. Vanderbilt","Department of Psychology, University of California, San Diego",NA,NA,NA
"2144","10.1111/cogs.12023","2013","Essentialist Beliefs About Bodily Transplants in the United States and India","Regular Articles","TRUE","Meredith Meyer1,*, 
Sarah-Jane Leslie2, 
Susan A. Gelman1 and
Sarah M. Stilwell1","Department of Psychology, University of Michigan
Department of Philosophy, Princeton University","Meredith Meyer","Department of Psychology, University of Michigan",NA,NA,NA
"2145","10.1111/cogs.12023","2013","Essentialist Beliefs About Bodily Transplants in the United States and India","Regular Articles","FALSE","Meredith Meyer1,*, 
Sarah-Jane Leslie2, 
Susan A. Gelman1 and
Sarah M. Stilwell1","Department of Psychology, University of Michigan
Department of Philosophy, Princeton University","Sarah-Jane Leslie","Department of Philosophy, Princeton University",NA,NA,NA
"2146","10.1111/cogs.12023","2013","Essentialist Beliefs About Bodily Transplants in the United States and India","Regular Articles","FALSE","Meredith Meyer1,*, 
Sarah-Jane Leslie2, 
Susan A. Gelman1 and
Sarah M. Stilwell1","Department of Psychology, University of Michigan
Department of Philosophy, Princeton University","Susan A. Gelman","Department of Psychology, University of Michigan",NA,NA,NA
"2147","10.1111/cogs.12023","2013","Essentialist Beliefs About Bodily Transplants in the United States and India","Regular Articles","FALSE","Meredith Meyer1,*, 
Sarah-Jane Leslie2, 
Susan A. Gelman1 and
Sarah M. Stilwell1","Department of Psychology, University of Michigan
Department of Philosophy, Princeton University","Sarah M. Stilwell","Department of Psychology, University of Michigan",NA,NA,NA
"2148","10.1111/cogs.12025","2013","The Probabilities of Conditionals Revisited","Regular Articles","TRUE","Igor Douven1,* and
Sara Verbrugge2","Faculty of Philosophy, University of Groningen
Laboratory of Experimental Psychology, University of Leuven","Igor Douven","Faculty of Philosophy, University of Groningen",NA,NA,NA
"2149","10.1111/cogs.12025","2013","The Probabilities of Conditionals Revisited","Regular Articles","FALSE","Igor Douven1,* and
Sara Verbrugge2","Faculty of Philosophy, University of Groningen
Laboratory of Experimental Psychology, University of Leuven","Sara Verbrugge","Laboratory of Experimental Psychology, University of Leuven",NA,NA,NA
"2150","10.1111/cogs.12029","2013","Temporal Sequences Quantify the Contributions of Individual Fixations in Complex Perceptual Matching Tasks","Regular Articles","TRUE","Thomas Busey1,*, 
Chen Yu1, 
Dean Wyatte2 and
John Vanderkolk3","Department of Psychological and Brain Sciences, Indiana University
Computational Cognitive Neuroscience Lab, University of Colorado
Indiana State Police Laboratory","Thomas Busey","Department of Psychological and Brain Sciences, Indiana University",NA,NA,NA
"2151","10.1111/cogs.12029","2013","Temporal Sequences Quantify the Contributions of Individual Fixations in Complex Perceptual Matching Tasks","Regular Articles","FALSE","Thomas Busey1,*, 
Chen Yu1, 
Dean Wyatte2 and
John Vanderkolk3","Department of Psychological and Brain Sciences, Indiana University
Computational Cognitive Neuroscience Lab, University of Colorado
Indiana State Police Laboratory","Chen Yu","Department of Psychological and Brain Sciences, Indiana University",NA,NA,NA
"2152","10.1111/cogs.12029","2013","Temporal Sequences Quantify the Contributions of Individual Fixations in Complex Perceptual Matching Tasks","Regular Articles","FALSE","Thomas Busey1,*, 
Chen Yu1, 
Dean Wyatte2 and
John Vanderkolk3","Department of Psychological and Brain Sciences, Indiana University
Computational Cognitive Neuroscience Lab, University of Colorado
Indiana State Police Laboratory","Dean Wyatte","Computational Cognitive Neuroscience Lab, University of Colorado",NA,NA,NA
"2153","10.1111/cogs.12029","2013","Temporal Sequences Quantify the Contributions of Individual Fixations in Complex Perceptual Matching Tasks","Regular Articles","FALSE","Thomas Busey1,*, 
Chen Yu1, 
Dean Wyatte2 and
John Vanderkolk3","Department of Psychological and Brain Sciences, Indiana University
Computational Cognitive Neuroscience Lab, University of Colorado
Indiana State Police Laboratory","John Vanderkolk","Indiana State Police Laboratory",NA,NA,NA
"2154","10.1111/cogs.12034","2013","Goal-Proximity Decision-Making","Brief Report","TRUE","Vladislav D. Veksler1,*, 
Wayne D. Gray2 and
Michael J. Schoelles2","Air Force Research Laboratory
Cognitive Science Department, Rensselaer Polytechnic Institute","Vladislav D. Veksler","Air Force Research Laboratory",NA,NA,NA
"2155","10.1111/cogs.12034","2013","Goal-Proximity Decision-Making","Brief Report","FALSE","Vladislav D. Veksler1,*, 
Wayne D. Gray2 and
Michael J. Schoelles2","Air Force Research Laboratory
Cognitive Science Department, Rensselaer Polytechnic Institute","Wayne D. Gray","Cognitive Science Department, Rensselaer Polytechnic Institute",NA,NA,NA
"2156","10.1111/cogs.12034","2013","Goal-Proximity Decision-Making","Brief Report","FALSE","Vladislav D. Veksler1,*, 
Wayne D. Gray2 and
Michael J. Schoelles2","Air Force Research Laboratory
Cognitive Science Department, Rensselaer Polytechnic Institute","Michael J. Schoelles","Cognitive Science Department, Rensselaer Polytechnic Institute",NA,NA,NA
"2157","10.1111/cogs.12028","2013","Estimating Large Numbers","Regular Articles","TRUE","David Landy1,*, 
Noah Silbert2 and
Aleah Goldin3","Department of Psychology, University of Richmond
Center for Advanced Study of Language, University of Maryland
University of Richmond","David Landy","Department of Psychology, University of Richmond",NA,NA,NA
"2158","10.1111/cogs.12028","2013","Estimating Large Numbers","Regular Articles","FALSE","David Landy1,*, 
Noah Silbert2 and
Aleah Goldin3","Department of Psychology, University of Richmond
Center for Advanced Study of Language, University of Maryland
University of Richmond","Noah Silbert","Center for Advanced Study of Language, University of Maryland",NA,NA,NA
"2159","10.1111/cogs.12028","2013","Estimating Large Numbers","Regular Articles","FALSE","David Landy1,*, 
Noah Silbert2 and
Aleah Goldin3","Department of Psychology, University of Richmond
Center for Advanced Study of Language, University of Maryland
University of Richmond","Aleah Goldin","University of Richmond",NA,NA,NA
"2160","10.1111/cogs.12030","2013","A Computational and Empirical Investigation of Graphemes in Reading","Regular Articles","TRUE","Conrad Perry1,*, 
Johannes C. Ziegler2 and
Marco Zorzi3","Faculty of Life and Social Sciences, Swinburne University of Technology
Aix-Marseille Université and Centre National de la Recherche Scientifique
Dipartimento di Psicologia Generale and Center for Cognitive Science, Università di Padova","Conrad Perry","Faculty of Life and Social Sciences, Swinburne University of Technology",NA,NA,NA
